text,label
"The following conversation then ensued:—V. in the dialogue representing the patient, and P. myself.",POE
"V. If I were awake I should like to die, but now it is no matter.",POE
V. There is no immateriality—it is a mere word.,POE
"The atmosphere, for example, impels the electric principle, while the electric principle permeates the atmosphere.",POE
"Motion is the action of mind, not of thinking.",POE
"Now we call all these things matter, and embrace all matter in one general definition; but in spite of this, there can be no two ideas more essentially distinct than that which we attach to a metal, and that which we attach to the luminiferous ether.",POE
"For although we may admit infinite littleness in the atoms themselves, the infinitude of littleness in the spaces between them is an absurdity.",POE
"Where there are no interspaces, there can be no yielding.",POE
"But you forget that the matter of which I speak is, in all respects, the very “mind” or “spirit” of the schools, so far as regards its high capacities, and is, moreover, the “matter” of these schools at the same time.",POE
P. But you now speak of “mind” and “matter” as do the metaphysicians.,POE
P. You say that divested of the body man will be God?,POE
You say that man will never put off the body?,POE
P. But of the worm’s metamorphosis we are palpably cognizant.,POE
You will have a distinct idea of the ultimate body by conceiving it to be entire brain.,POE
"This is the mode by which the mind of the rudimental life communicates with the external world; and this external world is, to the rudimental life, limited, through the idiosyncrasy of its organs.",POE
"Each of these is tenanted by a distinct variety of organic, rudimental, thinking creatures.",POE
V. The result of law inviolate is perfection—right—negative happiness.,POE
To be happy at any one point we must have suffered at the same.,POE
"There are many things on the Earth, which would be nihility to the inhabitants of Venus—many things visible and tangible in Venus, which we could not be brought to appreciate as existing at all.",POE
"Had the sleep-waker, indeed, during the latter portion of his discourse, been addressing me from out the region of the shadows?",POE
"In looking around me for some subject by whose means I might test these particulars, I was brought to think of my friend, M. Ernest Valdemar, the well-known compiler of the “Bibliotheca Forensica,” and author (under the nom de plume of Issachar Marx) of the Polish versions of “Wallenstein” and “Gargantua.”",POE
"It was his custom, indeed, to speak calmly of his approaching dissolution, as of a matter neither to be avoided nor regretted.",POE
D—— and F—— are agreed that I cannot hold out beyond to-morrow midnight; and I think they have hit the time very nearly.,POE
Doctors D—— and F—— were in attendance.,POE
"The ossification had proceeded with very unusual rapidity; no sign of it had been discovered a month before, and the adhesion had only been observed during the three previous days.",POE
"He still professed himself quite willing and even anxious to have it made, and urged me to commence it at once.",POE
"He replied feebly, yet quite audibly, “Yes, I wish to be.",POE
"At the expiration of this period, however, a natural although a very deep sigh escaped the bosom of the dying man, and the stertorous breathing ceased—that is to say, its stertorousness was no longer apparent; the intervals were undiminished.",POE
The head was very slightly elevated.,POE
"As I approached M. Valdemar I made a kind of half effort to influence his right arm into pursuit of my own, as I passed the latter gently to and fro above his person.",POE
"The right arm, as before, obeyed the direction of my hand.",POE
"As before, some minutes elapsed ere a reply was made; and during the interval the dying man seemed to be collecting his energies to speak.",POE
"The upper lip, at the same time, writhed itself away from the teeth, which it had previously covered completely; while the lower jaw fell with an audible jerk, leaving the mouth widely extended, and disclosing in full view the swollen and blackened tongue.",POE
"There are, indeed, two or three epithets which might be considered as applicable to it in part; I might say, for example, that the sound was harsh, and broken and hollow; but the hideous whole is indescribable, for the simple reason that no similar sounds have ever jarred upon the ear of humanity.",POE
M. Valdemar spoke—obviously in reply to the question I had propounded to him a few minutes before.,POE
"It remained in all respects as I have last described it, with the exception that the mirror no longer afforded evidence of respiration.",POE
I believe that I have now related all that is necessary to an understanding of the sleep-waker’s state at this epoch.,POE
"From this period until the close of last week—an interval of nearly seven months—we continued to make daily calls at M. Valdemar’s house, accompanied, now and then, by medical and other friends.",POE
"It was now suggested that I should attempt to influence the patient’s arm, as heretofore.",POE
"For what really occurred, however, it is quite impossible that any human being could have been prepared.",POE
"My immediate purpose is to place before the world, plainly, succinctly, and without comment, a series of mere household events.",POE
"I was especially fond of animals, and was indulged by my parents with a great variety of pets.",POE
"Observing my partiality for domestic pets, she lost no opportunity of procuring those of the most agreeable kind.",POE
It was even with difficulty that I could prevent him from following me through the streets.,POE
"I not only neglected, but ill-used them.",POE
"I took from my waistcoat-pocket a pen-knife, opened it, grasped the poor beast by the throat, and deliberately cut one of its eyes from the socket!",POE
"I had so much of my old heart left, as to be at first grieved by this evident dislike on the part of a creature which had once so loved me.",POE
"Have we not a perpetual inclination, in the teeth of our best judgment, to violate that which is Law, merely because we understand it to be such?",POE
"I am above the weakness of seeking to establish a sequence of cause and effect, between the disaster and the atrocity.",POE
"About this wall a dense crowd were collected, and many persons seemed to be examining a particular portion of it with very minute and eager attention.",POE
"The cat, I remembered, had been hung in a garden adjacent to the house.",POE
"One night as I sat, half stupefied, in a den of more than infamy, my attention was suddenly drawn to some black object, reposing upon the head of one of the immense hogsheads of gin, or of rum, which constituted the chief furniture of the apartment.",POE
"This, then, was the very creature of which I was in search.",POE
"By slow degrees, these feelings of disgust and annoyance rose into the bitterness of hatred.",POE
It followed my footsteps with a pertinacity which it would be difficult to make the reader comprehend.,POE
"The reader will remember that this mark, although large, had been originally very indefinite; but, by slow degrees—degrees nearly imperceptible, and which for a long time my reason struggled to reject as fanciful—it had, at length, assumed a rigorous distinctness of outline.",POE
Evil thoughts became my sole intimates—the darkest and most evil of thoughts.,POE
"Goaded, by the interference, into a rage more than demoniacal, I withdrew my arm from her grasp and buried the axe in her brain.",POE
Finally I hit upon what I considered a far better expedient than either of these.,POE
And in this calculation I was not deceived.,POE
"My next step was to look for the beast which had been the cause of so much wretchedness; for I had, at length, firmly resolved to put it to death.",POE
The guilt of my dark deed disturbed me but little.,POE
The officers bade me accompany them in their search.,POE
The glee at my heart was too strong to be restrained.,POE
But may God shield and deliver me from the fangs of the Arch-Fiend!,POE
I had walled the monster up within the tomb!,POE
It was a mystery all insoluble; nor could I grapple with the shadowy fancies that crowded upon me as I pondered.,POE
"The writer spoke of acute bodily illness—of a mental disorder which oppressed him—and of an earnest desire to see me, as his best, and indeed his only personal friend, with a view of attempting, by the cheerfulness of my society, some alleviation of his malady.",POE
"Such, I have long known, is the paradoxical law of all sentiments having terror as a basis.",POE
Yet all this was apart from any extraordinary dilapidation.,POE
"A valet, of stealthy step, thence conducted me, in silence, through many dark and intricate passages in my progress to the studio of his master.",POE
"The windows were long, narrow, and pointed, and at so vast a distance from the black oaken floor as to be altogether inaccessible from within.",POE
"An air of stern, deep, and irredeemable gloom hung over and pervaded all.",POE
"And now in the mere exaggeration of the prevailing character of these features, and of the expression they were wont to convey, lay so much of change that I doubted to whom I spoke.",POE
"He entered, at some length, into what he conceived to be the nature of his malady.",POE
"“I shall perish,” said he, “I must perish in this deplorable folly.",POE
"He admitted, however, although with hesitation, that much of the peculiar gloom which thus afflicted him could be traced to a more natural and far more palpable origin—to the severe and long-continued illness—indeed to the evidently approaching dissolution—of a tenderly beloved sister—his sole companion for long years—his last and only relative on earth.",POE
The disease of the lady Madeline had long baffled the skill of her physicians.,POE
An excited and highly distempered ideality threw a sulphureous lustre over all.,POE
"A small picture presented the interior of an immensely long and rectangular vault or tunnel, with low walls, smooth, white, and without interruption or device.",POE
"They must have been, and were, in the notes, as well as in the words of his wild fantasias (for he not unfrequently accompanied himself with rhymed verbal improvisations), the result of that intense mental collectedness and concentration to which I have previously alluded as observable only in particular moments of the highest artificial excitement.",POE
"Wanderers in that happy valley Through two luminous windows saw Spirits moving musically To a lute’s well-tunéd law, Round about a throne, where sitting (Porphyrogene!)",POE
"I well remember that suggestions arising from this ballad, led us into a train of thought wherein there became manifest an opinion of Usher’s which I mention not so much on account of its novelty, (for other men * have thought thus,) as on account of the pertinacity with which he maintained it.",POE
"Such opinions need no comment, and I will make none. * Watson, Dr. Percival, Spallanzani, and especially the Bishop of Landaff.—See “Chemical Essays,” vol v. Our books—the books which, for years, had formed no small portion of the mental existence of the invalid—were, as might be supposed, in strict keeping with this character of phantasm.",POE
"At the request of Usher, I personally aided him in the arrangements for the temporary entombment.",POE
"Having deposited our mournful burden upon tressels within this region of horror, we partially turned aside the yet unscrewed lid of the coffin, and looked upon the face of the tenant.",POE
"He roamed from chamber to chamber with hurried, unequal, and objectless step.",POE
"I felt creeping upon me, by slow yet certain degrees, the wild influences of his own fantastic yet impressive superstitions.",POE
"Overpowered by an intense sentiment of horror, unaccountable yet unendurable, I threw on my clothes with haste (for I felt that I should sleep no more during the night), and endeavored to arouse myself from the pitiable condition into which I had fallen, by pacing rapidly to and fro through the apartment.",POE
"Thus speaking, and having carefully shaded his lamp, he hurried to one of the casements, and threw it freely open to the storm.",POE
"“These appearances, which bewilder you, are merely electrical phenomena not uncommon—or it may be that they have their ghastly origin in the rank miasma of the tarn.",POE
"I had arrived at that well-known portion of the story where Ethelred, the hero of the Trist, having sought in vain for peaceable admission into the dwelling of the hermit, proceeds to make good an entrance by force.",POE
"The motion of his body, too, was at variance with this idea—for he rocked from side to side with a gentle yet constant and uniform sway.",POE
"“Not hear it?—yes, I hear it, and have heard it.",POE
Is she not hurrying to upbraid me for my haste?,POE
It was the work of the rushing gust—but then without those doors there did stand the lofty and enshrouded figure of the lady Madeline of Usher.,POE
"“The mountain pinnacles slumber; valleys, crags and caves are silent.”",POE
"They sigh one unto the other in that solitude, and stretch towards the heaven their long and ghastly necks, and nod to and fro their everlasting heads.",POE
And at the roots strange poisonous flowers lie writhing in perturbed slumber.,POE
"And the rock was gray, and ghastly, and tall,—and the rock was gray.",POE
"And his brow was lofty with thought, and his eye wild with care; and, in the few furrows upon his cheek I read the fables of sorrow, and weariness, and disgust with mankind, and a longing after solitude.",POE
And I lay close within my covert and observed the actions of the man.,POE
"And they became accursed, and were still.",POE
"Therein, I say, are glorious histories of the Heaven, and of the Earth, and of the mighty sea—and of the Genii that over-ruled the sea, and the earth, and the lofty heaven.",POE
Blood was its Avatar and its seal—the redness and the horror of blood.,POE
"This was an extensive and magnificent structure, the creation of the prince’s own eccentric yet august taste.",POE
The prince had provided all the appliances of pleasure.,POE
There were seven—an imperial suite.,POE
"That at the eastern extremity was hung, for example, in blue—and vividly blue were its windows.",POE
"Now in no one of the seven apartments was there any lamp or candelabrum, amid the profusion of golden ornaments that lay scattered to and fro or depended from the roof.",POE
"But, in spite of these things, it was a gay and magnificent revel.",POE
It was necessary to hear and see and touch him to be sure that he was not.,POE
"And these—the dreams—writhed in and about, taking hue from the rooms, and causing the wild music of the orchestra to seem as the echo of their steps.",POE
"But these other apartments were densely crowded, and in them beat feverishly the heart of life.",POE
"In truth the masquerade license of the night was nearly unlimited; but the figure in question had out-Heroded Herod, and gone beyond the bounds of even the prince’s indefinite decorum.",POE
"And yet all this might have been endured, if not approved, by the mad revellers around.",POE
"They rang throughout the seven rooms loudly and clearly—for the prince was a bold and robust man, and the music had become hushed at the waving of his hand.",POE
He had come like a thief in the night.,POE
"You, who so well know the nature of my soul, will not suppose, however, that I gave utterance to a threat.",POE
He had a weak point—this Fortunato—although in other regards he was a man to be respected and even feared.,POE
"It was about dusk, one evening during the supreme madness of the carnival season, that I encountered my friend.",POE
And in the middle of the carnival!”,POE
"“My friend, no; I will not impose upon your good nature.",POE
There were no attendants at home; they had absconded to make merry in honor of the time.,POE
"“It is farther on,” said I; “but observe the white web-work which gleams from these cavern walls.”",POE
"You are rich, respected, admired, beloved; you are happy, as once I was.",POE
He raised it to his lips with a leer.,POE
The wine sparkled in his eyes and the bells jingled.,POE
"Come, we will go back ere it is too late.",POE
“Then you are not of the brotherhood.”,POE
"We passed through a range of low arches, descended, passed on, and descending again, arrived at a deep crypt, in which the foulness of the air caused our flambeaux rather to glow than flame.",POE
"It was in vain that Fortunato, uplifting his dull torch, endeavored to pry into the depths of the recess.",POE
"From one of these depended a short chain, from the other a padlock.",POE
But I must first render you all the little attentions in my power.”,POE
It was not the cry of a drunken man.,POE
"I again paused, and holding the flambeaux over the mason-work, threw a few feeble rays upon the figure within.",POE
"I did this, and the clamorer grew still.",POE
The voice said— “Ha! ha! ha!—he! he!—a very good joke indeed—an excellent jest.,POE
I thrust a torch through the remaining aperture and let it fall within.,POE
"In the consideration of the faculties and impulses—of the prima mobilia of the human soul, the phrenologists have failed to make room for a propensity which, although obviously existing as a radical, primitive, irreducible sentiment, has been equally overlooked by all the moralists who have preceded them.",POE
"We could not understand, that is to say, we could not have understood, had the notion of this primum mobile ever obtruded itself;—we could not have understood in what manner it might be made to further the objects of humanity, either temporal or eternal.",POE
"And so with combativeness, with ideality, with causality, with constructiveness,—so, in short, with every organ, whether representing a propensity, a moral sentiment, or a faculty of the pure intellect.",POE
"Through its promptings we act without comprehensible object; or, if this shall be understood as a contradiction in terms, we may so far modify the proposition as to say, that through its promptings we act, for the reason that we should not.",POE
"It will be said, I am aware, that when we persist in acts because we feel we should not persist in them, our conduct is but a modification of that which ordinarily springs from the combativeness of phrenology.",POE
"No one who trustingly consults and thoroughly questions his own soul, will be disposed to deny the entire radicalness of the propensity in question.",POE
"The most important crisis of our life calls, trumpet-tongued, for immediate energy and action.",POE
"We tremble with the violence of the conflict within us,—of the definite with the indefinite—of the substance with the shadow.",POE
Our first impulse is to shrink from the danger.,POE
"And because our reason violently deters us from the brink, therefore do we the most impetuously approach it.",POE
"I have said thus much, that in some measure I may answer your question—that I may explain to you why I am here—that I may assign to you something that shall have at least the faint aspect of a cause for my wearing these fetters, and for my tenanting this cell of the condemned.",POE
I knew my victim’s habit of reading in bed.,POE
The idea of detection never once entered my brain.,POE
I could scarcely get rid of it for an instant.,POE
"No sooner had I spoken these words, than I felt an icy chill creep to my heart.",POE
"I well, too well understood that to think, in my situation, was to be lost.",POE
"They say that I spoke with a distinct enunciation, but with marked emphasis and passionate hurry, as if in dread of interruption before concluding the brief but pregnant sentences that consigned me to the hangman and to hell.",POE
He here confounds the pleasure derivable from sweet sounds with the capacity for creating them.,POE
"In truth, the man who would behold aright the glory of God upon earth must in solitude behold that glory.",POE
"And since we see clearly that the endowment of matter with vitality is a principle—indeed, as far as our judgments extend, the leading principle in the operations of Deity,—it is scarcely logical to imagine it confined to the regions of the minute, where we daily trace it, and not extending to those of the august.",POE
I felt that thus only should I look upon it—such was the character of phantasm which it wore.,POE
"The grass was short, springy, sweet-scented, and asphodel-interspersed.",POE
"The shade of the trees fell heavily upon the water, and seemed to bury itself therein, impregnating the depths of the element with darkness.",POE
"What the wasting tree is to the water that imbibes its shade, growing thus blacker by what it preys upon, may not the life of the Fay be to the death which engulfs it?”",POE
"She is a year nearer unto Death; for I did not fail to see that, as she came into the shade, her shadow fell from her, and was swallowed up in the dark water, making its blackness more black.”",POE
There are surely other worlds than this—other thoughts than the thoughts of the multitude—other speculations than the speculations of the sophist.,POE
"I was returning home from the Piazetta, by way of the Grand Canal.",POE
"Upon the broad black marble flagstones at the entrance of the palace, and a few steps above the water, stood a figure which none who then saw can have ever since forgotten.",POE
"Nonsense!—Who does not remember that, at such a time as this, the eye, like a shattered mirror, multiplies the images of its sorrow, and sees in innumerable far-off places, the woe which is close at hand?",POE
"Alas! another’s arms have taken it from the stranger—another’s arms have taken it away, and borne it afar off, unnoticed, into the palace!",POE
"“Thou hast conquered,” she said, or the murmurs of the water deceived me; “thou hast conquered—one hour after sunrise—we shall meet—so let it be!”",POE
In height he might have been below rather than above the medium size: although there were moments of intense passion when his frame actually expanded and belied the assertion.,POE
"Shortly after sunrise, I found myself accordingly at his Palazzo, one of those huge structures of gloomy, yet fantastic pomp, which tower above the waters of the Grand Canal in the vicinity of the Rialto.",POE
"In the architecture and embellishments of the chamber, the evident design had been to dazzle and astound.",POE
"Glancing to and fro, in a thousand reflections, from curtains which rolled from their cornices like cataracts of molten silver, the beams of natural glory mingled at length fitfully with the artificial light, and lay weltering in subdued masses upon a carpet of rich, liquid-looking cloth of Chili gold.",POE
"Also in the Absurdities of Ravisius Textor, there is a long list of characters who came to the same magnificent end.",POE
This is better than fashion—is it not?,POE
"Many are chosen, as you see, with little deference to the opinions of Virtu.",POE
"Part of the left arm (here his voice dropped so as to be heard with difficulty,) and all the right, are restorations; and in the coquetry of that right arm lies, I think, the quintessence of all affectation.",POE
"Allowing the remark to have applied in its full force to the outward demeanor of my acquaintance, I felt it, on that eventful morning, still more fully applicable to his moral temperament and character.",POE
"“No more—no more—no more,” (Such language holds the solemn sea To the sands upon the shore,) Shall bloom the thunder-blasted tree, Or the stricken eagle soar!",POE
"“There is one painting,” said he, without being aware of my notice of the tragedy—“there is still one painting which you have not seen.”",POE
With her left she pointed downward to a curiously fashioned vase.,POE
Let us pour out an offering to yon solemn sun which these gaudy lamps and censers are so eager to subdue!”,POE
"The chastity of Ionia is offended by antediluvian devices, and the sphynxes of Egypt are outstretched upon carpets of gold.",POE
"At length, erecting his frame, he looked upwards, and ejaculated the lines of the Bishop of Chichester: “Stay for me there!",POE
I staggered back towards the table—my hand fell upon a cracked and blackened goblet—and a consciousness of the entire and terrible truth flashed suddenly over my soul.,POE
